Titre,Titre_original,Annee,Public,Duree,Note,Type,Description,Actors,Country,Langue,Episode,Saison
Arrested development - Les nouveaux pauvres,Original title: Arrested Development,2003–2019,Tous publics,"TV Series,22,m",8.7,Comedy,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,Alia Shawkat,Tony Hale,David Cross,Jeffrey Tambor,Jessica Walter,Ron Howard,Henry Winkler,John Beard,Liza Minnelli,Mae Whitman,Justin Grant Wade,Ed Begley Jr.,Isla Fisher,Maria Bamford",United States,English,84,5
Leyla ile Mecnun,,2011–2021,TV-PG,"TV Series,1,h, ,20,m",9.1,"Adventure,Comedy,Drama","Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","Ali Atay,Serkan Keskin,Ahmet Mümtaz Taylan,Osman Sonant,Cengiz Bozkurt,Köksal Engür,Ege Tanman,Nalan Kuruçim,Alican Akman,Engin Günay,Neslihan Aker,Istar Gökseven,Sebahat Adalar,Safak Pekdemir,Mehmet Usta,Güliz Gençoglu,Sarp Aydinoglu,Ipek Türktan",Turkey,Turkish,114,4
Fleabag,,2016–2019,18,"TV Series,27,m",8.7,"Comedy,Drama",A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis,Jamie Demetriou,Kae Alexander,Anthony Welsh,Ray Fearon,Christian Hillborg,David Hargreaves,Angus Imrie,Christopher Colquhoun",United Kingdom,English,12,2
Invincible,,2021– ,16,"TV Series,50,m",8.7,"Animation,Action,Adventure",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,Grey Griffin,Kevin Michael Richardson,Walton Goggins,Gillian Jacobs,Zachary Quinto,Andrew Rannells,Jason Mantzoukas,Khary Payton,Chris Diamantopoulos,Melise,Mark Hamill,Ross Marquand,Clancy Brown,Fred Tatasciore",United States,English,13,2
Oz,,1997–2003,10,"TV Series,55,m",8.7,"Crime,Drama,Thriller",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,George Morfogen,Terry Kinney,Rita Moreno,Harold Perrineau,Eamonn Walker,Craig muMs Grant,Luna Lauren Velez,Granville Adams,Tom Mardirosian,Kirk Acevedo,BD Wong,Chuck Zito,Philip Scozzarella,Scott William Winters",United States,English,56,6
Succession,,2018– ,12,"TV Series,1,h",8.7,Drama,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Nicholas Braun,Brian Cox,Kieran Culkin,Peter Friedman,Matthew Macfadyen,Alan Ruck,Sarah Snook,Jeremy Strong,J. Smith-Cameron,Dagmara Dominczyk,Scott Nicholson,Hiam Abbass,Justine Lupe,David Rasche,Arian Moayed,Rob Yang,Juliana Canfield,Fisher Stevens",United States,English,30,3
Vinland Saga,,2019– ,13,"TV Series,24,m",8.8,"Animation,Action,Adventure",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,"Keith Silverstein,Zach Aguilar,Ben Diskin,Ray Chase,Kira Buckland,Patrick Seitz,Allegra Clark,J. Michael Tatum,Abby Trott,Ryan Bartley,Debi Derryberry,Aleks Le,Sean Chiplock,D.C. Douglas,Daman Mills,Kellen Goff,Kyle McCarley,Billy Kametz",Japan,Japanese,24,1
La fabuleuse Mme Maisel,Original title: The Marvelous Mrs. Maisel,2017– ,18,"TV Series,57,m",8.7,"Comedy,Drama",A housewife in 1958 decides to become a stand-up comic.,"Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,Tony Shalhoub,Matilda Szydagis,Nunzio Pascale,Matteo Pascale,Kevin Pollak,Brian Tarantina,Joel Johnstone,Caroline Aaron,Bailey De Young,Cynthia Darlow,Luke Kirby,Jane Lynch,LeRoy McClain,Zachary Levi",United States,English,33,4
Dragon Ball Z,,1989–2003,12,"TV Series,24,m",8.7,"Animation,Action,Adventure","After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.","Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Jillian Michaels,Kyle Hebert,Michael Dobson,Kirby Morrow,Ted Cole,Cynthia Cranz","Japan,United States,Canada","Japanese,English",277,16
Moi Claude empereur,"Original title: I, Claudius",1976,Not Rated,"TV Mini Series,11,h, ,9,m",8.8,"Biography,Drama,History",The history of the Roman Empire as experienced by one of its rulers.,"Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Bernard Hepton,Sheila White,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley",United Kingdom,"English,German",13,1
